Nama_Hotel,Top_Positif_Phrase,Bobot_Pos,Top_Negatif_Phrase,Bobot_Neg
Inna Bali Heritage Hotel,ditengah kota,0.5717,fasilitas kurang,-1.0436
Inna Bali Heritage Hotel,kolam renang,0.5298,acnya berisik,-1.0163
Inna Bali Heritage Hotel,suasana nyaman,0.5108,banyak nyamuk,-0.9955
Inna Bali Heritage Hotel,tempat bagus,0.5088,tidak pernah,-0.9456
Inna Sindhu Beach Hotel,tempat bagus,1.0,kurang memuaskan,-1.8152
Inna Sindhu Beach Hotel,lokasi bagus,0.8257,segala sesuatunya,-1.2047
Inna Sindhu Beach Hotel,pinggir pantai,0.7812,sarapannya buruk,-1.1953
Inna Sindhu Beach Hotel,pantai sanur,0.711,beberapa malam,-1.1807
Inna Sindhu Beach Hotel,stafnya ramah,0.6969,tidak istimewa,-1.0955
Inna Sindhu Beach Hotel,pagi hari,0.6873,pantainya bagus,-1.0335
Inna Sindhu Beach Hotel,tempat nyaman,0.6765,sarapannya tidak,-0.9886
Inna Sindhu Beach Hotel,pantai indah,0.6524,air panas,-0.9699
Inna Sindhu Beach Hotel,tepat pantai,0.6353,liburan anda,-0.9381
Inna Sindhu Beach Hotel,langsung pantai,0.6018,sama tidak,-0.919
Inna Tretes Hotel,view gunung,1.0637,pelayanan kurang,-1.3868
Inna Tretes Hotel,spot foto,0.9637,tidak nyaman,-1.3001
Inna Tretes Hotel,makanan enak,0.8926,tidak ramah,-1.202
Inna Tretes Hotel,makanannya enak,0.8916,tdk ramah,-1.2016
Inna Tretes Hotel,goa jepang,0.882,pelayanan buruk,-1.1247
Inna Tretes Hotel,pelayanan ramah,0.8662,tidak terawat,-1.1093
Inna Tretes Hotel,cocok buat,0.8218,lama bgt,-1.0799
Inna Tretes Hotel,viewnya bagus,0.8216,tidak sesuai,-1.0655
Inna Tretes Hotel,bersih nyaman,0.7828,suka kolam,-1.0273
Inna Tretes Hotel,lokasi strategis,0.7786,tau kalau,-0.9875
KHAS Malioboro Hotel,lokasi strategis,1.4477,ac bocor,-1.6124
KHAS Malioboro Hotel,pelayanan ramah,1.4231,pelayanan kurang,-1.4071
KHAS Malioboro Hotel,dekat malioboro,1.104,tidak sesuai,-1.3292
KHAS Malioboro Hotel,jalan malioboro,1.0732,kurang enak,-1.2268
KHAS Malioboro Hotel,parkir luas,0.8653,kurang luas,-1.1389
KHAS Malioboro Hotel,nyaman bersih,0.8601,abu abu,-1.1059
KHAS Malioboro Hotel,khas malioboro,0.8128,lewat aplikasi,-1.0948
KHAS Malioboro Hotel,jalan kaki,0.7809,membuka pintu,-1.019
KHAS Malioboro Hotel,tempatnya nyaman,0.7747,pengalaman buruk,-0.9885
KHAS Malioboro Hotel,cuma kurang,0.7676,secara umum,-0.9835
KHAS Gresik Hotel,kota gresik,1.3643,tidak ramah,-1.7687
KHAS Gresik Hotel,nyaman bersih,1.0279,gak sesuai,-1.6437
KHAS Gresik Hotel,bagus bersih,0.787,tidak nyaman,-1.5425
KHAS Gresik Hotel,pusat kota,0.7801,kurang menyenangkan,-1.4893
KHAS Gresik Hotel,pelayanan baik,0.7658,pelayanan kurang,-1.353
KHAS Gresik Hotel,tempatnya nyaman,0.7634,sama tidak,-1.1346
KHAS Gresik Hotel,alat sholat,0.727,kurang maksimal,-1.0153
KHAS Gresik Hotel,pelayanan bagus,0.7142,baik lagi,-0.9872
KHAS Gresik Hotel,al quran,0.6939,terlalu mahal,-0.9721
KHAS Gresik Hotel,tempat strategis,0.6868,parkirnya sempit,-0.9464
KHAS Makassar Hotel,pelayanan bagus,1.0581,hotelnya gak,-1.707
KHAS Makassar Hotel,kota makassar,0.9627,kurang ramah,-1.2172
KHAS Makassar Hotel,nyaman bersih,0.9582,ketika pengunjung,-1.2081
KHAS Makassar Hotel,bersih nyaman,0.9544,sarung bantal,-1.2053
KHAS Makassar Hotel,pelayanan ramah,0.9178,pelayanan kurang,-1.1919
KHAS Makassar Hotel,lokasi strategis,0.8975,ga ganti,-1.1529
KHAS Makassar Hotel,al quran,0.8617,pelayanannya pun,-1.094
KHAS Makassar Hotel,tengah kota,0.8476,valet jg krn,-1.0456
KHAS Makassar Hotel,harga murah,0.8154,bagus hanya,-1.0269
KHAS Makassar Hotel,tempatnya nyaman,0.7899,kurang bagus,-0.9844
KHAS Ombilin Hotel,kota sawahlunto,0.8934,air panas,-1.3588
KHAS Ombilin Hotel,tengah kota,0.6288,kota tua,-1.2537
KHAS Ombilin Hotel,khas ombilin,0.5879,mandinya kotor,-1.0762
KHAS Ombilin Hotel,sawah lunto,0.5475,tempat bersejarah,-0.7144
KHAS Ombilin Hotel,bersih nyaman,0.5126,kurang terawat,-0.5449
KHAS Ombilin Hotel,lokasi strategis,0.4769,bersih wangi,-0.4461
KHAS Ombilin Hotel,pelayanan bagus,0.4669,stafnya ramah,-0.4334
KHAS Ombilin Hotel,makanannya enak,0.438,nginap disini,-0.4297
KHAS Ombilin Hotel,makanan enak,0.4276,hotelnya bagus,-0.4083
KHAS Ombilin Hotel,terima kasih,0.4253,bangunan tua,-0.3784
KHAS Palu Hotel,mas ade,0.2466,mengeluarkan suara,-1.2838
KHAS Palu Hotel,dekat bandara,0.2418,kali menginap,-0.8291
KHAS Palu Hotel,kamarnya bersih,0.197,pengalaman menginap,-0.3895
KHAS Palu Hotel,pelayanan baik,0.1542,lokasinya strategis,-0.3734
KHAS Palu Hotel,pelayanan bagus,0.1357,berfungsi baik,-0.3675
KHAS Palu Hotel,hotelnya bagus,0.1346,nyaman tempat,-0.3589
KHAS Palu Hotel,bagus harga,0.1345,air panasnya,-0.3442
KHAS Palu Hotel,perjalanan bisnis,0.134,tempat tidur,-0.3185
KHAS Palu Hotel,khas palu,0.1203,atas pelayanannya,0.0368
KHAS Palu Hotel,pelayanan ramah,0.1188,mas ade atas,0.0368
KHAS Pekalongan Hotel,pelayanan ramah,1.4606,kurang nyaman,-1.574
KHAS Pekalongan Hotel,kota pekalongan,1.2821,tidak nyaman,-1.3111
KHAS Pekalongan Hotel,bersih nyaman,1.2151,ac panas,-1.2316
KHAS Pekalongan Hotel,kolam renang,1.1968,kurang luas,-1.1689
KHAS Pekalongan Hotel,lokasi strategis,1.1509,tidak boleh,-1.0114
KHAS Pekalongan Hotel,parkir luas,1.0921,menginap tiap,-1.0039
KHAS Pekalongan Hotel,dekat alun,0.9977,tidak sesuai,-0.9832
KHAS Pekalongan Hotel,tengah kota,0.9334,bau rokok,-0.961
KHAS Pekalongan Hotel,nyaman bersih,0.9156,keganggu bgt,-0.9112
KHAS Pekalongan Hotel,pusat kota,0.8782,mandi bau,-0.8262
KHAS Pekanbaru Riau Hotel,kota pekanbaru,1.2893,parkir sempit,-1.8973
KHAS Pekanbaru Riau Hotel,tengah kota,1.2746,tidak ramah,-1.4286
KHAS Pekanbaru Riau Hotel,bersih nyaman,1.1548,kurang memuaskan,-1.2389
KHAS Pekanbaru Riau Hotel,sarapannya enak,1.0409,sarapan kurang,-1.2047
KHAS Pekanbaru Riau Hotel,lokasi strategis,0.9859,makanannya kurang,-1.1614
KHAS Pekanbaru Riau Hotel,tempat nyaman,0.9643,kurang terawat,-1.1388
KHAS Pekanbaru Riau Hotel,pelayanan bagus,0.9034,menu makanan,-1.1247
KHAS Pekanbaru Riau Hotel,pusat kota,0.9009,bau apek,-1.0238
KHAS Pekanbaru Riau Hotel,makanan enak,0.8807,hp hilang,-1.0181
KHAS Pekanbaru Riau Hotel,pelayanan ramah,0.88,byk rusak,-0.9959
KHAS Prapat,langsung danau,1.0072,tidak sesuai,-1.3984
KHAS Prapat,danau toba,1.0048,pelayanan buruk,-1.3844
KHAS Prapat,banyak spot,0.9782,pelayanannya buruk,-1.2892
KHAS Prapat,nyaman bersih,0.9412,terlalu mahal,-1.2641
KHAS Prapat,bersih nyaman,0.9158,kurang enak,-1.173
KHAS Prapat,khas parapat,0.8945,pelayanan kurang,-1.0271
KHAS Prapat,lokasi strategis,0.8646,kedai teras,-1.0188
KHAS Prapat,pemandangan danau,0.7998,harga kamarnya,-1.0138
KHAS Prapat,makanan enak,0.7112,tidak memuaskan,-1.0083
KHAS Prapat,bagus bersih,0.6847,cuma air,-0.9951
KHAS Semarang Hotel,lokasi strategis,1.1425,pelayanan buruk,-2.012
KHAS Semarang Hotel,pelayanan ramah,1.0466,kurang luas,-1.5945
KHAS Semarang Hotel,staff ramah,0.9784,kurang menarik,-1.5524
KHAS Semarang Hotel,makanan enak,0.8899,makanannya kurang,-1.4859
KHAS Semarang Hotel,bersih nyaman,0.835,sampai jam,-1.3543
KHAS Semarang Hotel,khas semarang,0.8138,terlalu kecil,-1.3517
KHAS Semarang Hotel,parkir luas,0.7779,hari pertama,-1.2575
KHAS Semarang Hotel,tengah kota,0.7183,menghargai tamu,-1.2466
KHAS Semarang Hotel,stafnya ramah,0.7008,seperti makan,-1.236
KHAS Semarang Hotel,kesini lagi,0.6446,kurang bersih,-1.2132
KHAS Surabaya Hotel,sunan ampel,1.2667,kurang ramah,-1.7362
KHAS Surabaya Hotel,bersih nyaman,1.2258,tidak ramah,-1.4778
KHAS Surabaya Hotel,parkir luas,0.9227,pelayanan kurang,-1.2709
KHAS Surabaya Hotel,lokasi strategis,0.8554,tidak sesuai,-1.2368
KHAS Surabaya Hotel,khas surabaya,0.8106,tidak menyenangkan,-1.236
KHAS Surabaya Hotel,wisata religi,0.7977,bets bnget,-1.2169
KHAS Surabaya Hotel,pelayanan ramah,0.7449,bersarang dalamnya,-1.2169
KHAS Surabaya Hotel,pelayanan bagus,0.7428,wktu acara,-1.2169
KHAS Surabaya Hotel,makanan enak,0.7393,kurang bersih,-1.1586
KHAS Surabaya Hotel,harga terjangkau,0.7158,menu makanan,-1.1344
KHAS Tegal Hotel,kota tegal,1.3963,kurang bersih,-1.7771
KHAS Tegal Hotel,kolam renang,1.126,terlalu sempit,-1.5549
KHAS Tegal Hotel,pelayanan bagus,1.0838,twin bed,-1.3153
KHAS Tegal Hotel,menu sarapan,1.0777,kurang enak,-1.2611
KHAS Tegal Hotel,bersih nyaman,1.0542,tidak dibuatkan,-1.2279
KHAS Tegal Hotel,nyaman bersih,1.0405,bagus fasilitas,-1.2103
KHAS Tegal Hotel,lokasi strategis,0.9937,mati lampu,-1.2055
KHAS Tegal Hotel,staff ramah,0.8639,kurang oke,-1.1285
KHAS Tegal Hotel,pusat kota,0.8407,depan diperbaiki,-1.0241
KHAS Tegal Hotel,terima kasih,0.7968,jadi kurang,-0.9778
KHAS Tugu Hotel,lokasi strategis,1.7272,ac bocor,-1.6283
KHAS Tugu Hotel,makanan enak,1.2675,pelayanan buruk,-1.5585
KHAS Tugu Hotel,tugu jogja,1.2157,kamarnya kecil,-1.5408
KHAS Tugu Hotel,makanannya enak,1.1593,kurang ramah,-1.5076
KHAS Tugu Hotel,tempat strategis,0.9929,kurang rapi,-1.3187
KHAS Tugu Hotel,pusat kota,0.972,harga mahal,-1.2698
KHAS Tugu Hotel,salah satu,0.9255,ditingkatkan lagi,-1.267
KHAS Tugu Hotel,pelayanan ramah,0.8948,terlalu kecil,-1.2088
KHAS Tugu Hotel,tempatnya nyaman,0.8755,kurang enak,-1.1824
KHAS Tugu Hotel,kamarnya bersih,0.866,kurang nyaman,-1.1617
Kyriad Hotel Airport Tanggerang,pelayanan baik,1.1328,ac bocor,-1.2587
Kyriad Hotel Airport Tanggerang,nyaman bersih,1.0051,kurang bagus,-1.2196
Kyriad Hotel Airport Tanggerang,pelayanan bagus,0.991,terburuk pernah,-1.1777
Kyriad Hotel Airport Tanggerang,deket bandara,0.9587,mandi kotor,-1.1637
Kyriad Hotel Airport Tanggerang,bersih nyaman,0.9571,tidak direkomendasikan,-1.1241
Kyriad Hotel Airport Tanggerang,makanan enak,0.9451,wifi tidak,-1.0609
Kyriad Hotel Airport Tanggerang,mbak desy,0.9179,kurang enak,-1.0463
Kyriad Hotel Airport Tanggerang,stafnya ramah,0.8784,pelayanan kurang,-1.0009
Kyriad Hotel Airport Tanggerang,tempat nyaman,0.8635,fasilitas kurang,-0.9913
Kyriad Hotel Airport Tanggerang,harga terjangkau,0.8529,kurang nyaman,-0.9713
Lafayette Hotel,staff ramah,0.9486,kurang enak,-1.8199
Lafayette Hotel,makanan enak,0.8606,harus menunggu,-1.5034
Lafayette Hotel,kolam renangnya,0.8421,tidak ramah,-1.4625
Lafayette Hotel,spot foto,0.8145,seperti tidak,-1.2705
Lafayette Hotel,gunung merapi,0.7799,pengalaman terburuk,-1.2534
Lafayette Hotel,nuansa eropa,0.7747,kurang ramah,-1.2438
Lafayette Hotel,salah satu,0.737,kurang baik,-1.1328
Lafayette Hotel,kesini lagi,0.7333,ga dingin,-1.0987
Lafayette Hotel,pelayanan baik,0.7312,service staff,-1.0884
Lafayette Hotel,terima kasih,0.7175,staf resepsionis,-1.0408
LPP Garden Hotel Jogjakarta,tempat nyaman,1.2588,banyak nyamuk,-1.3323
LPP Garden Hotel Jogjakarta,pelayanan ramah,1.1872,mandi ga,-1.2616
LPP Garden Hotel Jogjakarta,harga terjangkau,1.1617,pelayanan kurang,-1.2063
LPP Garden Hotel Jogjakarta,tempatnya nyaman,1.0107,bau rokok,-1.1749
LPP Garden Hotel Jogjakarta,cocok buat,0.9244,hanya menggunakan,-1.11
LPP Garden Hotel Jogjakarta,parkir luas,0.8893,masih dibersihkan,-1.1065
LPP Garden Hotel Jogjakarta,tempatnya enak,0.8699,pelayanan buruk,-1.1048
LPP Garden Hotel Jogjakarta,tengah kota,0.8281,bangunan lama,-1.0543
LPP Garden Hotel Jogjakarta,nginep disini,0.8057,akhirnya harus,-1.0427
LPP Garden Hotel Jogjakarta,kamarnya nyaman,0.7927,berkesan jorok,-1.0043
Palm Park Surabaya,bersih nyaman,0.9004,terlalu mahal,-1.3118
Palm Park Surabaya,kaza mall,0.8504,pintu mandi,-1.2252
Palm Park Surabaya,harga terjangkau,0.8237,gedung parkir,-1.111
Palm Park Surabaya,tempatnya nyaman,0.747,bangunan baru,-1.0813
Palm Park Surabaya,nyaman bersih,0.7268,kurang dingin,-1.0305
Palm Park Surabaya,pasar tradisional,0.7022,nyaman hanya,-0.916
Palm Park Surabaya,bagus bersih,0.6834,kecoa kecil,-0.9083
Palm Park Surabaya,pelayanan bagus,0.6798,parkir jauh,-0.8931
Palm Park Surabaya,tempatnya bagus,0.6329,mandi air,-0.887
Palm Park Surabaya,harga murah,0.6121,lobby lokasi,-0.8567
Park Hotel,terima kasih,1.3592,kurang nyaman,-1.5431
Park Hotel,makanan enak,1.2209,kurang enak,-1.4847
Park Hotel,bersih nyaman,1.0598,kamarnya kecil,-1.2973
Park Hotel,bandara halim,0.8602,kurang ramah,-1.2708
Park Hotel,pelayanan bagus,0.8464,tidak tersedia,-0.9656
Park Hotel,hotelnya bagus,0.7832,kurang suka,-0.9631
Park Hotel,jakarta timur,0.7746,ac gak,-0.9469
Park Hotel,mas akmal,0.7565,makanan kurang,-0.8847
Park Hotel,fasilitas lengkap,0.7318,asap rokok,-0.8833
Park Hotel,nyaman bersih,0.7304,kurang memuaskan,-0.8824
Patra Aner Hotel,langsung pantai,1.2556,tidak terawat,-1.5599
Patra Aner Hotel,view pantai,1.1569,banyak semut,-1.4577
Patra Aner Hotel,bagus bersih,1.0492,pelayanan buruk,-1.3759
Patra Aner Hotel,bersama keluarga,1.0301,banyak serangga,-1.1918
Patra Aner Hotel,dekat pantai,1.0208,extra bed,-1.1694
Patra Aner Hotel,tempatnya bagus,1.0148,kurang nyaman,-1.1373
Patra Aner Hotel,pasir putih,0.9425,mandi kotor,-1.0449
Patra Aner Hotel,tempatnya nyaman,0.9127,saluran air,-1.0026
Patra Aner Hotel,pelayanan ramah,0.8709,tidak sarapan,-0.9694
Patra Aner Hotel,nyaman bersih,0.7789,makanannya kurang,-0.9537
Patra Bandung Hotel,makanan enak,0.9282,sholat jumat,-1.3385
Patra Bandung Hotel,kota bandung,0.8907,tidak sesuai,-1.0236
Patra Bandung Hotel,nyaman bersih,0.8536,kamarnya kecil,-1.0122
Patra Bandung Hotel,bersih nyaman,0.775,bagus hanya,-0.9555
Patra Bandung Hotel,makanannya enak,0.764,gedung terkesan kuno,-0.8692
Patra Bandung Hotel,staff ramah,0.7083,gedung terkesan,-0.8692
Patra Bandung Hotel,lokasinya strategis,0.6494,hanya kenyamanannya kurang,-0.8075
Patra Bandung Hotel,kolam air,0.607,hanya kenyamanannya,-0.8075
Patra Bandung Hotel,air hangat,0.601,dibandingkan lainnyarasa masakannya,-0.8042
Patra Bandung Hotel,sarapan enak,0.5838,dibandingkan lainnyarasa,-0.8042
Patra Dumai Hotel,bersih nyaman,0.5732,nasi putih,-1.2051
Patra Dumai Hotel,pelayanan baik,0.5069,tempat parkir,-0.7988
Patra Dumai Hotel,pelayanan bagus,0.5036,bagus kebersihannya,-0.7068
Patra Dumai Hotel,bagus bersih,0.4886,kali nginap,-0.7022
Patra Dumai Hotel,kota dumai,0.4456,panas tidak,-0.6883
Patra Dumai Hotel,patra dumai,0.437,air panas,-0.6864
Patra Dumai Hotel,makanan enak,0.4296,pihak patra,-0.6113
Patra Dumai Hotel,air purifier,0.4123,liburan bersama,-0.6
Patra Dumai Hotel,pelayanan ramah,0.4042,pertama kali,-0.5977
Patra Dumai Hotel,nyaman bersih,0.3905,play ground,-0.5838
Patra Jakarta,makanannya enak,0.755,kedap suara,-1.3433
Patra Jakarta,tempat nyaman,0.6979,tidak seperti,-1.1401
Patra Jakarta,lokasi strategis,0.6541,pelayanan kurang,-1.1281
Patra Jakarta,tempat menginap,0.6222,tidak terlalu,-1.0084
Patra Jakarta,rumah sakit,0.4373,patra jasa,-0.8197
Patra Jakarta,terima kasih,0.4157,bank mandiri,-0.6634
Patra Jakarta,tempat bagus,0.4068,tenis lapangan,-0.6477
Patra Jakarta,bagus bersih,0.4014,banyak nyamuk,-0.618
Patra Jakarta,tempatnya nyaman,0.3968,cari makan,-0.5904
Patra Jakarta,hotelnya bagus,0.3755,menginap sini,-0.5793
Patra Malioboro Hotel,lokasi strategis,1.0033,pelayanan buruk,-1.4435
Patra Malioboro Hotel,dekat malioboro,0.891,kurang baik,-1.2907
Patra Malioboro Hotel,jalan kaki,0.7984,tidak menyenangkan,-1.1887
Patra Malioboro Hotel,kolam renang,0.6799,namun tidak,-1.1554
Patra Malioboro Hotel,hotelnya bagus,0.6213,mau keluar,-1.1476
Patra Malioboro Hotel,staff ramah,0.5457,denda rokok,-1.0024
Patra Malioboro Hotel,patra malioboro,0.5228,tempat parkir,-0.7891
Patra Malioboro Hotel,sarapan enak,0.4852,jadi kurang nyaman,-0.7772
Patra Malioboro Hotel,air purifier,0.4843,extra bed,-0.7732
Patra Malioboro Hotel,makanan enak,0.4656,mau pinjam,-0.7728
Patra Parapat Hotel,pemandangan indah,1.2436,air panas,-1.1307
Patra Parapat Hotel,tempat nyaman,0.8401,bawa ank,-1.1274
Patra Parapat Hotel,danau toba,0.7434,kurang perawatan,-1.0975
Patra Parapat Hotel,view danau,0.6317,bagus tetapi,-1.0831
Patra Parapat Hotel,liburan keluarga,0.6061,tengah malam,-1.0558
Patra Parapat Hotel,pemandangannya indah,0.5688,transportasi umum,-1.0312
Patra Parapat Hotel,bagus nyaman,0.5362,secara keseluruhan,-0.967
Patra Parapat Hotel,makanannya enak,0.5241,jalan masuk,-0.9385
Patra Parapat Hotel,nyaman asri,0.5222,apa lg,-0.9096
Patra Parapat Hotel,bagus pemandangan,0.5025,kurang baik,-0.9014
Rollas Hotel&Resort,perkebunan teh,0.9782,kurang terawat,-1.7625
Rollas Hotel&Resort,tempatnya nyaman,0.731,pelayanan buruk,-1.4078
Rollas Hotel&Resort,kebun teh,0.6915,mana gak,-0.9645
Rollas Hotel&Resort,tiket masuk,0.6304,redup lampu,-0.961
Rollas Hotel&Resort,bersama keluarga,0.6304,bangunan lama,-0.8784
Rollas Hotel&Resort,pabrik teh,0.526,kurang enak,-0.8604
Rollas Hotel&Resort,pemandangan indah,0.5089,kotor berdebu,-0.8269
Rollas Hotel&Resort,tenang nyaman,0.4872,kurang bersih,-0.7881
Rollas Hotel&Resort,tempat bagus,0.4728,kebersihan kurang,-0.7794
Rollas Hotel&Resort,bukit kuneer,0.4664,bagus tp,-0.772
The Manohara,pelayanan ramah,1.2699,kurang ramah,-1.6712
The Manohara,makanannya enak,1.16,tidak nyaman,-1.6259
The Manohara,hotelnya bagus,0.9459,orang lain,-1.3868
The Manohara,kak nera,0.8604,basi masih,-1.2562
The Manohara,kolam renang,0.8242,tidak tahu,-1.2444
The Manohara,staff ramah,0.7818,jalan kaki,-1.2058
The Manohara,makanan enak,0.7809,ramah bersih,-1.1629
The Manohara,kota jogja,0.7556,tidak ramah,-1.1628
The Manohara,bersih wangi,0.7459,parkiran depan,-1.1093
The Manohara,lokasi strategis,0.7272,kamarnya kurang,-1.0835
The Patra Bali Resort&Villlaa,pelayanan ramah,0.8192,kurang ramah,-1.7567
The Patra Bali Resort&Villlaa,pinggir pantai,0.8012,mereka tidak,-1.7165
The Patra Bali Resort&Villlaa,tempat nyaman,0.6747,tidak ramah,-1.2939
The Patra Bali Resort&Villlaa,tempatnya bagus,0.6623,menginap sini,-1.2708
The Patra Bali Resort&Villlaa,dekat bandara,0.6602,kurang terawat,-1.2457
