User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Lusi Damayanti,2025,4,tempat strategis gratis kopi teh di kamar disediakan sajadah ada musola juga kolam renang kamar mandi bersih,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9993059635162354,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.98)"
rina setrinayt,2025,5,Hotel yang bagus pelayanan nya baik dan ramah sya puas banget pernah nginap di hotel ini,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9990440011024475,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.98)
eri supriadi,2025,5,hotelnya nyaman bersih dan dekat dengan kuliner alun alun kota pkalongan pokonya bikin pengen kembali lagi,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9995442032814026,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.98)"
Rinno Wardana,2025,4,kebetulan sewa tempat pertemuan tempatnya luas dan nyaman namun kurang puas karena kualitas proyektor yang kurang baik tidak bisa fokus dan warna tidak jelas sehingga penyampaian materi secara visual kurang maksimal,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9950671195983887,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.90); Booking & Reservation Experience (0.90)
Cindy Regina,2025,5,dapet harga 380an superior tnpa sarapan di libur lebaran oke lah buat transit semalam perhotelan ny bagus ternyta pak satpam nya ramah dan sigap bantu keluarin barang dari mobil dan antar ke kamar resepsionis jg ramah dan gercep karena di kamar tidak ada kulkas jadi nitip susu dan es pack di hotel proses nitip dan ambil nya juga mudah dan cepat dan kamar nya nyaman paling kamar mandi saja sih bisa jadi catatan ya karena lubang pembuangan udara di tmpt meng mandi lebih tinggi jadi udara ny gengenang lokasi hotel juga strategis meskipun tidak termasuk sarapan tidak kesulitan cari sarapan juga krna sekitar situ banyak yang,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9991996884346008,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Staff Conduct & Hospitality (0.96); Facilities & Amenities (0.95)
Nazwa Aurellia Tan,2025,5,hotel nyaman yang letaknya di tengah kota view nya bagus dari dalam kamar,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9992864727973938,Facilities & Amenities,Facilities & Amenities (0.95); Room Quality & Comfort (0.92); Guest Experience (0.87)
Ardhana Ricwari (Chypit),2025,4,untuk kasur twin bed kasurnya ukuran 100 tapi kamar lumayan luas dan bersih sarapannya stndart hotel bintang 3 cuman klo mau omlet harus pesan ke petugas dulu tidak buka dapur,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.992195725440979,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.96); Service Quality (0.96); Facilities & Amenities (0.96)"
Tambang Raras,2025,5,selain hotel juga ada ruang yang biasa untuk rapat kelulusan dan acara lainnya tempatnya strategis dalam kota dekat alun alun parkir luas berada di samping kiri hotel petugas ramah tempat bersih dan makanannya lumayan enak,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9994034767150879,Facilities & Amenities,"Facilities & Amenities (1.00); Location, Accessibility & Parking (0.99); Service Quality (0.99)"
Rozi Qin,2025,3,dimohon kpd pihak manajemen hotel nya untuk membenahi di bagian kunciannya dengan 3m,BUMN,Bintang 3,KHASPekalonganHotel,neutral,0.9962206482887268,Service Quality,Service Quality (0.82); Sustainability & Environmental Quality (0.78); Safety & Security (0.73)
RNY,2025,5,hotel murah meriah layanan baik dan lokasi sangat strategis mau ke alun alun tinggal jalan kaki saja,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.999367892742157,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Service Efficiency & Responsiveness (0.99)
agtifa primadani,2025,3,menginap di sini saat transit jalan dari jawa timur menuju jakarta hotel lokasi strategis harga terjangkau kami memesan 2 kamar twin bed ukuran kamar tidak terlalu besar namun cukup nyaman untuk beristirahat saat check masuk jam 7 malam masih harus menunggu kamar siap hampir 20 menit padahal biasanya waktu cek masuk siang hari yang menyebabkan waktu tunggu lama karena kamar masih perlu dibereskan di kamar mandi ada fasilitas dasar seperti sabun mandi dan sikat gigi namun petugas lupa memasukkan tangan mandiuk sehingga harus telepon dulu untuk minta diberikan tangan pesan makan dari resto room service tidak semua makanan yang tertera di menu hotel ada namun rasa lumayan enak staf mayoritas ramah,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9465730786323547,Facilities & Amenities,"Facilities & Amenities (0.97); Pricing & Value for Money (0.88); Cleanliness, Hygiene & Maintenance (0.83)"
Riza Rahmat Syah,2025,3,Basc hotel untuk hotel khas seharusnya bisa memberikan layanan tambahan saya tidak suka suasana nya lorong dan kamar lembab dan tampak tidak sehat m,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9865946769714355,Facilities & Amenities,Facilities & Amenities (0.99); Ambience & Design (0.92); Guest Experience (0.82)
faruq azzam fadholi,2025,5,hotel yang bagus dan terjangkau di pusat kota pekalongan lokasi dekat ke alun alun dan pusat perbelanjaan untuk pelayanan hotelnya sudah sangat bagus kamar bersih fasilitas memadai dan juga di kamar telah disediakan alat sholat namun ada 1 kekurangan yakni lantai kamar mandi datar sehingga menimbulkan genangan kedepannya semoga kekurangan tersebut segera bisa diatasi terima kasih khas pekalongan hotel,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9986613988876343,Facilities & Amenities,"Facilities & Amenities (0.96); Service Quality (0.62); Cleanliness, Hygiene & Maintenance (0.59)"
sidiQ Muhasnan,2025,5,lokasi di tengah kota dan suasana nyaman untuk melaksanakan kegiatan pertemuan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.999151349067688,Room Quality & Comfort,Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Family & Group Friendly (0.93)
Endah Apriyani,2025,4,baru dari hotel ini 2 hari yang lalu menginap bersama keluarga adik kamar baru bersebelahan adik dan keluarga heran mengapa kamar saya berisik sekali seperti sedang menggeser tempat tidur pokoknya berisik dan lama durasinya padahal saat itu kami sedang jalan2 di alun2 dan kamar kami kosong jadi siapa yang berisik ya,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9921618103981018,Guest Experience,Guest Experience (0.30); Check in/out Experience (0.17); Religious & Halal Features (0.16)
Yuni Haryani,2025,4,keamanan pak agus baik dan ramah sekali hotel yang nyaman rasa sarapan enak baget staf ramah kamar bersih tersedia perlengkapan sholat di kamar parkir luas harus menginap di sini kalau ke pekalongan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9994747042655945,Safety & Security,Safety & Security (1.00); Facilities & Amenities (0.99); Service Quality (0.99)
Fikri Chairutomo,2025,5,bisa menginap di sini karena ada kebutuhan pekerjaan di daerah batang dan kantor tugas untuk menginap di sini hari rabu 23 maret kamar tidur dan kamar mandinya bersih semua fasilitas di kamar berfungsi dengan baik disediakan perlengkapan shalat sajadah sarung dan mukena sarapan cukup oke variasi cukup banyak bisa pesan omelet juga wifi lancar suara karaoke dari tempat lain terdengar sampai kamar tapi masih tolerable secara keseluruhan hotel ini cukup oke untuk menginap karena kebutuhan pekerjaan bisnis,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9989714622497559,Facilities & Amenities,"Facilities & Amenities (1.00); Religious & Halal Features (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Podcast BundaR,2025,4,lokasi terbaik sih bener bener di tengah kota pekalongan harga juga terjangkau sarapan di hotel enak dan layak banget untuk hotel bintang 3 kamarnya sesuai umur hotel ya hehehe karna hotel udah lama ya maklum kalau tidak bergizi menyala dan indah,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9991596937179565,Pricing & Value for Money,Pricing & Value for Money (0.99); Facilities & Amenities (0.93); Room Quality & Comfort (0.92)
M. Yusuf Nurrohman,2025,2,jauh dari bandung buat transit liburan sebelum ke semarang dengan harga 500an agak kecewa dengan kondisi kamar yang kurang bersih kurang terawat dan sempit namun keramahan satpam dan staf2nya sangat baik dan menjadi nilai tambah,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9844271540641785,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.96); Pricing & Value for Money (0.94); Facilities & Amenities (0.87)
Threegunz,2024,3,hotelnya strategis di pusat kota pekalongan deket masjid jami dan alun2 makanannya enak cafe nya jg asik banget bisa ngopi sambil santai di samping kolam renang hanya sayang di toilet di kamar kami ada kelabang gede banget smoga manajemen hotel bisa memperhatikan lg kebersihan kamar dan toilet,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9991470575332642,Facilities & Amenities,"Facilities & Amenities (0.82); Food & Beverage (0.82); Cleanliness, Hygiene & Maintenance (0.75)"
Sarah Salsabila,2024,5,kamar bersih dan nyaman pelayanannya sangat ramah terima kasih buat para staf yang membantu mengantarkan sarapan karena kami awal checkout nilai plusnya adalah terdapat mushola dan setiap kamar diberikan alat sholat menuju kiblat serta al auran yang memudahkan untuk beribadah lokasinya pun sangat strategis dengan berbagai pusat wisata perbelanjaan tempat ibadah dan alun alun terima kasih khas pekalongan hotel ini adalah pengalaman pertama menginap di hotel ini dengan keluarga dan kami menikmatinya lain kali ke pekalongan insyaallah kami akan datang ke sini lagi,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9993228912353516,Check in/out Experience,Check in/out Experience (1.00); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)
Abdul Azis,2025,5,kamar bersih ac dingin pelayanan ramah makan pagi enak terutama soto pekalongan harga makanan di kafe murah dengan premi layanan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9991720914840698,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Guest Experience (0.97); Service Quality (0.97)"
Octa Bagus,2025,5,pelayanan bagus tempat nyaman makanan enak,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9992628693580627,Service Quality,Service Quality (1.00); Facilities & Amenities (0.99); Guest Experience (0.99)
faizal makhrus,2024,5,kamarnya cukup luas bisa membuat sholat jamaah sekeluarga makanannya juga lumayan enak yang asyik adalah dekat alun2 dan masjid agung mall pekalongan jg dekat nyaman pokoknya,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9993213415145874,Facilities & Amenities,Facilities & Amenities (0.98); Family & Group Friendly (0.97); Room Quality & Comfort (0.88)
Dwi Oktariana,2024,5,Tim petugasnya pada ramah banget kamar luas terus yang sangat jarang ditemui di tempat lain adalah tersedia alat sholat ini tuh ngebantu banget lokasi sangat strategis dekat alun alun dan pusat perbelanjaan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9982813596725464,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Quality (0.99)
Feny Khalisa,2024,5,lokasi di tengah kota sangat dekat dengan alun2 banyak kuliner di sekitarnya dan dr banget sama makam habib rumah sangat bagus suasanya sarapannya menuunya banyak dan rasanya standar kalau kamarnya agak kecil tapi nyaman,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9995973706245422,Facilities & Amenities,Facilities & Amenities (0.94); Food & Beverage (0.92); Cultural & Heritage Experience (0.90)
Rizka Ibrahim,2024,4,hotel yang terletak di pusat kota mudah kemana mana mana dekat dengan alun alun dan mesjid agung pekalongan untuk ukuran kamar relatif tidak luas tapi cukup nyaman staf sangat tanggap dalam menjawab masalah seperti ac atau fasilitas lainnya menu sarapan cukup bervariasi khas lokal dan enak terdapat kolam renang setinggi 1 2 m namun letaknya sangat berdekatan dengan area makan disarankan menghindari waktu yang berdekatan dengan waktu makan jika ingin berenang kolamnya tidak terlalu luas tersedia kamar mandi dan tangan bersih,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9993626475334167,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Facilities & Amenities (0.97); Staff Conduct & Hospitality (0.92)
Mh Badrut Tamam,2024,5,perjalanan dinas kali ini diberi fasilitas penginapan di hotel khas pekalongan selama 3 hari selama berkegiatan kami menggunakan fasilitas mobil antar jemput drivernya ramah dan membantu kamar bagi saya agak sempit tapi masih oke dan nyaman kamar mandi bersih namun udara kadang menggenang menu sarapan pagi di restoran hotel kurang bervariasi tapi masih okelah untuk dinikmati,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9966083765029907,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.97); Service Efficiency & Responsiveness (0.97)"
Revita T,2024,4,untuk pelayanan sgt baik dari satpam hingga front desk sarapan standar kamar untuk kebersihannya perlu ditingkatkan lagi dan menurut saya tangan nya perlu diganti karena sudah abu2 warnanya,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.6906048059463501,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (0.99); Facilities & Amenities (0.99)"
bakhtiar az,2025,5,tempat nyaman resto ada ruangan kecil walau tanpa pintu,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9987834095954895,Facilities & Amenities,Facilities & Amenities (0.90); Food & Beverage (0.82); Room Quality & Comfort (0.78)
Lol Wr,2024,5,Saya keluarga menginap 1 malam disini staf ramah terutama mbak dini parkir luas kamar bersih dan wangi hotel nyaman dan bersih ada kolam renang juga yang di sediakan menu handuk juga sarapan lumayan bervarian lokasi hotel dekat dengan alun2 dan pusat perbelanjaan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9994818568229675,Facilities & Amenities,"Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Ahmad Arifin,2025,1,Satpam Kurng ajar tolong d revisi lagi dasar gk tau aturan,BUMN,Bintang 3,KHASPekalonganHotel,neutral,0.9144248366355896,Safety & Security,Safety & Security (0.32); Religious & Halal Features (0.31); Management & Policy Issues (0.28)
Susan Tesda,2024,1,cek masuk 10 feb cek keluar 11 feb rombongan kami 7 orang 3 dewasa 1 lansia 3 anak usia 5 tahun dapat kamar 320 dan 325 berhadapan jam 00 30 bocor di plafon kamar 325 smp banjir orgtua ank saya terpaksa pindah mendadak ke lt 5 kondisi sedang istirahat lelap sungguh sangat merepotkan kami jam pindah ke 525 gara2 bocor kemudian sarapan pagi juga dapat pelayanan tidak menyenangkan oleh petugas dan kemudian ternyata setelah sarapan mandi kamar saya 320 juga bocor ac baru smp timbul genangan saya mengeluh ke resepsi petugas resto yang bertugas di hari itu itu hny mendapat kompensasi,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9990633130073547,Check in/out Experience,Check in/out Experience (0.98); Guest Experience (0.84); Booking & Reservation Experience (0.70)
Septiani Pratiwi,2024,5,secara keseluruhan oke lah semua staf hotel ramah2 paling terkesan dengan pelayanannya selalu mengeluh karena chiller di kamar tidak bisa dingin dengan sigap tidak terlalu lama teknisi dateng bawa chiller pengganti untuk sarapannya cukup lah tapi klo bisa ditambah variasi lauknya lokasi hotel dekat dengan plaza pekalongan alun2 pekalongan jadi tidak bingung untuk cari makanan jajanan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9990795850753784,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Quality (0.99); Service Efficiency & Responsiveness (0.99)
Muhammad Jefri Pradewa,2025,4,hotel yang sangat strategis lokasinya ada dekat dengan alun alun kota pekalongan dekat dengan hypermart pekalongan cukup dengan berjalan kaki saja untuk menuju pusat keramaian pekalongan banyak wisata kuliner dekat dengan lokasi,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9995036125183105,Facilities & Amenities,Facilities & Amenities (0.74); Food & Beverage (0.70); Service Efficiency & Responsiveness (0.46)
Grace W,2023,5,hotel yang berada di lokasi yang strategis dekat alun2 kota pekalongan dan pusat perbelanjaan hypermart matahari tidak terlalu jauh juga dari stasiun walaupun kamarnya tidak terlalu besar kasur kembar baru yang uk kecil kamar mandi juga cukup sempit tapi bersih biasanya saya tidak suka pakai handuk hotel karena suka bau kotor tapi kmrn karena handuk yang disediakan kondisi sangat bersih saya jadi berani pakai untuk sarapan saja selain nasi bubur roti dll ada juga menu2 tradisional kaya jamu megono dan jajan pasar secara keseluruhan semalam yang nyaman menginap di hotel khas pekalongan teruskan pekerjaan yang baik,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9987891316413879,Facilities & Amenities,"Facilities & Amenities (0.83); Service Quality (0.79); Cleanliness, Hygiene & Maintenance (0.76)"
Puji Astuti,2024,5,Coba makan makan berbakaran ada setiap kamis malam katanya murah meriah enak banyak pilihan menu pelayanan pol tidak hanya untuk tamu hotel,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9992839694023132,Guest Experience,Guest Experience (0.98); Service Quality (0.97); Food & Beverage (0.94)
Arif Yoga Ali Fianda,2023,5,Aksesibilitas sangat mudah dijangkau namun letaknya keluar dari jalur pantura menyebabkan hotel ini sangat tenang dengan kebisingan harga sangat terjangkau untuk hotel yang cukup baru dengan tampilan interior yang modern minimalis standar amenities di setiap kamar cukup lengkap jika Anda membutuhkan pengering rambut pun hotel ini memfasilitasinya kamar hotel cukup kedap suara antar kamar sehingga dapat menjaga privasi dan berehat saat mu selama berkunjung di pekalongan akses menuju alun alun kota sangat dekat jangan khawatir kelaparan khas hotel sangat dekat dengan pusat perbelanjaan seperti mall butik pusat oleh kuliner dsb sayangnya hotel ini tidak cukup menyediakan parkir,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9992939233779907,Facilities & Amenities,Facilities & Amenities (0.99); Pricing & Value for Money (0.98); Service Quality (0.94)
Amelia Asep Khotib,2024,4,Menuruni kamar mandi 110 perlu diperbaiki omletnya tidak segar duduk di kamarnya nasi megononya enak mesen mangkuk katsu kurang segar sedikit ayamnya pelayannya ramah banget suka,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9988365769386292,Food & Beverage,Food & Beverage (0.93); Facilities & Amenities (0.92); Guest Experience (0.73)
Asri,2024,5,Lokasinya di pusat kota dekat mana mana mana mana ke mall dekat ke alun alun dekat ke masjid besar juga dekat tinggal jalan kaki strategis sekali untuk karyawan hotelnya juga sangat ramah dan sangat membantu terima kasih sekali kamarnya cukup nyaman kecil tapi nyaman hanya saja minibarnya perlu diganti ke kulkas kecil yang lebih dingin selebihnya semuanya sangat oke saya menginap 4 hari 3 malam disana terima kasih,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.999376118183136,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.98)
Rasita Proboninggar,2023,5,Sangat memuaskan menginap di sini pelayanan ramah dan cepat tanggap lokasi sangat strategis sekali dengan alun2 dekat dengan pusat perbelanjaan jadi tidak bingung untuk belanja ataupun cari makan kamar bersih dan fasilitas lengkap bahkan disediakan sarung mukena dan sajadah ada kolam renang meskipun tidak begitu besar keamanan dan resepsi juga sangat ramah dan sangat membantu terimakasih hotel khas pasti akan kembali lagi,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9995138645172119,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99)
Imma Wasis,2023,5,kami memesan di musim puncak melalui aplikasi online kamar superior twin bed dengan sarapan di harga 560k kamar kamar terkesan sempit tapi bersih dan harum lantai keramik dengan warna coklat seperti parket tapi tetap terasa dingin di kaki mengingat pekalongan kotanya panas tidak mengapa sebenernya lantai tanpa karpet terdapat cermin besar di dinding di atas latar belakang tempat tidur sepertinya untuk mensiasati kamar yang kecil setiap 1 tempat tidur tunggal diberikan 2 bantal terdapat gantungan baju setoran kotak ketel pemanas udara beserta salinan teh dan perlengkapan membuatnya ada TV flat juga tersedia juga alat ibadah sarung muk,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9903596639633179,Facilities & Amenities,"Facilities & Amenities (0.89); Cleanliness, Hygiene & Maintenance (0.79); Service Quality (0.76)"
Kelik Ayah Razan - Zhafran,2025,5,hotel yang sangat strategis di pusat kota pekalongan jarak hanya sangat dekat dengan alun alun kota pekalongan bersih rapih dan pelayanan yang ramah parkir luas,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.999474823474884,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.99); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99)"
Alreadyfine,2024,2,pertama saya tertarik karena lokasi di tengah kota pelayanan juga bagus namun saat masuk kamar kecewa datang saat membuka pintu bau jamur dan rokok padahal pesan yang tidak merokok saat masuk ke kamar ukuran tak berbeda jauh sama oyo kucing di kamar tidak rapi dan terkesan kasar banget model kamar kayak dipaksakan seharusnya bukan kamar tapi di kamar jadikan trus privasi tidak terjaga di kamar ada pintu terusan ke kamar lain ada suara orang ngobrol dari kamar sebelah ac juga warnanya tampak tua mungkin hotel bekas hotel tua yang di renovasi cukup sekali saja tinggal di sini bagusnya hanya lokasi dekat pusat kota sama luas parkir soal kamar bintang 1 layaknya oyo,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9988918900489807,Facilities & Amenities,Facilities & Amenities (0.95); Guest Experience (0.90); Check in/out Experience (0.77)
Whie Susanthie,2025,2,Handuknyaa ya allah seprei nya kusut kayak habis pakai tapi kata baru diganti dan bau nya pun apek kenyamanan kamar kurang banget,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9993106126785278,Religious & Halal Features,Religious & Halal Features (0.59); Service Quality (0.51); Guest Experience (0.48)
Ayu Miranti,2023,5,lokasi mudah di jangkau dekat dengan alun2 pekalongan parkir tersedia luas menginap di sini karena kebetulan jenguk saudara yang dirawat di rs qim dari rs qim hanya 20 menit lobi bagus kamar standar bersih ac mantap dingin toiletry jg lengkap kami cek masuk jam 11 malam dan petugas tetap melayani dengan baik dapet tarif di 410 eksklusif sarapan karena pesanan mendadak di malam itu juga yang bikin tambah suka tersedia peralatan sholat lengkap mukena sajadah sarung,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9993320107460022,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
