User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Barra Mahatva,2025,3,menginap pada hari Jumat 26 12 2025 secara umum layanannya oke tapi ada beberapa hal yang perlu diperhatikan 1 basement 3 tidak tercover oleh lift ini sangat merepotkan ketika kita datang tidak ada petugas yang mengarahkan ke lobi untuk reservasi maka kita langsung masuk ke parkir diarahkan ke basement 3 karena b1 dan b2 sudah penuh akhirnya kita harus ngangkat barang2 kita termasuk koper besar menuju basement 2 dengan naik tangga manual untuk petugas parkir perlu ditingkatkan kompetensi nya harus berhenti dulu ditanya mau memeriksa masuk atau tidak langsung mengarahkan ke b3 lebih mengecewakan lagi ketika sampai b2 ternyata masih ada beberapa,KOMPETITOR,Bintang 4,TheAlana,negative,0.9404118061065674,Service Quality,"Service Quality (0.87); Facilities & Amenities (0.75); Location, Accessibility & Parking (0.69)"
Lynz,2025,5,sudah beberapa kali menginap kali ini bersama keluarga hotelnya strategis anak-anak ramah banyak area bermain di kolam sarapannya puas banyak variasi menu akan selalu setia dengan alana servicenya sangat baik mba dewi terimakasih banyak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995081424713135,Service Quality,Service Quality (1.00); Family & Group Friendly (0.98); Facilities & Amenities (0.98)
Nozan X chal,2025,5,fasilitas hotel lengkao makanan buffet enak hanya sepertinya kurang banyak pilihan menu karena di hotel lain biasanya banyak pilihan daging minuman enak layanan dari pelayan sudah baik dan sangat membantu mba dewi ramah dan informatif,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994015693664551,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Food & Beverage (0.99)
andi glassmoon,2025,5,lokasi sangat strategis dekat dengan bandara dan pusat kota kamar bersih ada kamar untuk fasilitas merokok layanan keseluruhan dari awal masuk ruang bawah tanah layanan bagus pelayan bu dewi membantu layanan pada saat sarapan pekerjaan yang baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993485808372498,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Guest Experience (0.99)
Hari Sofia,2025,5,tempat nya nyaman hotelnya luas dan terjangkau dari mana saja makanan enak saat sarapan nya resto nya bersih pelayanan sudah oke mba dewi staf aku resto yang ramah pelayanan nya baik sekali,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995061159133911,Service Quality,"Service Quality (0.99); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.95)"
taka a.,2025,5,Lokasinya strategis sangat dekat ke bandara hotelnya ditengah kota ramai fasilitas lengkap dan ramah stafnya makanan banyak pilihan sampai bingung karena enak semuanya pelayannya kak dewi ramah dan hangat,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995119571685791,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.98); Service Quality (0.96)
Shabrina Asmarani Aprilliana,2025,5,hotelnya nyaman dan bersih fasilitasnya cukup komplit ada kolam renang gym mini taman bermain cocok untuk perjalanan bisnis maupun liburan bersama keluarga menu sarapannya cukup komplit dan enak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994884729385376,Facilities & Amenities,"Facilities & Amenities (1.00); Family & Group Friendly (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
budi arsihadi,2026,5,hotel nyaman kebersihan nya terjaga pelayanan dari staf ramah dekt dengan bandara besar terima kasih kakak housekeeping,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992480874061584,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99); Staff Conduct & Hospitality (0.99)"
Arbua Barastigio,2026,5,menginap di keluarga mewah ekstra tempat tidur cenderung lumayan seru buat anak anak tidur utama sarapan bervariasi dan enak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994465708732605,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.95); Room Quality & Comfort (0.82)
Ahmad Ashari,2025,5,makanannya enak sekali kamarnya oke restoran nya luas ada taman bermain nya di lantai 2 fasilitas lengkap letak hotel strategis pelayanan dari staf resto nya baik mba dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.999527096748352,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.95); Room Quality & Comfort (0.87)
cavelyn clit,2025,5,pelayanan baik proses cek masuk cepat dan mudah menu sarapan lengkap dengan cita rasa yang lezat dianjurkan untuk sekedar tempat beristirahat selain itu pelayan dan pelayan sangat sangat rendah hati terutama ms dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.995508074760437,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Guest Experience (1.00); Staff Conduct & Hospitality (0.99)
Anna Goenadi,2025,5,berulang kali menginap di hotel ini kamar luas kolam renang nya menyenangkan menu sarapan bervariatif dan enaakk semua gym lengkap di setiap sudut juga bersih mushola tidak sangat besar tapi nyaman mengadakan pernikahan di sini pun sangat merekomendasikan karena dari lantai dasar jalan naik 1 lantai bisa dengan lift maupun eskalator,KOMPETITOR,Bintang 4,TheAlana,positive,0.999599039554596,Facilities & Amenities,Facilities & Amenities (0.99); Family & Group Friendly (0.85); Service Quality (0.85)
qq Cute,2025,5,hotelnya bagus nyaman cukup luas pelayanan staf hotelnya ramah dan cukup membantu sarapan nya makanan enak2 semua terima kasih buat mba reva pelayanannya yang terbaik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994269609451294,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Staff Conduct & Hospitality (0.96)
vanh joshep,2025,5,makanan enak layanan resto baik staf pelayan dan pelayan nya melayani dengan baik hotelnya luas dan letak stategis mba dewi ramah pelayan restoran kamarny bersih dan luas ada taman bermain di area hotel,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995501637458801,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Staff Conduct & Hospitality (0.99)
Eko Marsudi utomo,2026,5,fasilitas lengkap termasuk untuk santai bekerja dan pertemuan atau seminar dekat dengan pusat kuliner dan olahraga ke imigrasi dan bandara juga dekat asrama haji juga dekat,KOMPETITOR,Bintang 4,TheAlana,positive,0.999017596244812,Facilities & Amenities,Facilities & Amenities (1.00); Family & Group Friendly (0.91); Service Efficiency & Responsiveness (0.89)
Pambudi Prambanan,2025,5,Sangat memuaskan sekali hotel Alana semua makanan mantap dan lengkap tempatnya juga estetik ac nya dingin pelayanan mas rendra baik dan ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994022846221924,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99)
amrih lestari,2025,5,fasilitas hotel lebih baik perlu perbaikan untuk paku tempat sabun menu makanan di resto variatif dan enak staf membantu mantap,KOMPETITOR,Bintang 4,TheAlana,positive,0.9921952486038208,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.96); Food & Beverage (0.96)
Ning Jrut,2025,5,pelayanan mantap makanan sarapan enak pelayanan ramah ka anisa keren cepat dan cekatan menanyakan kebutuhan saat sarapan klo butuh bantuan dia grecep sehingga staf2 pelayan yang lain yang masih muda2 trutama juga jadi ikut grecep juga keren juara oia layanan pembersihan yang d bagian resto juga teliti banget saat bersih2 salam,KOMPETITOR,Bintang 4,TheAlana,positive,0.9987145662307739,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (0.99)
Jati Nugroho,2025,5,selama tinggal dialana untuk pelayanan luar biasa baik dibantu oleh kak annisa makanannya enak minumannya juga komplit ada kopi mesinnya juga tempatnya nyaman kamar juga luas dan nyaman,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995521903038025,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Guest Experience (0.99)
Rindang Widuri,2026,5,Pelayanan atas nama melisa sangat baik dan ramah makanannya enak kamarnya nya nyaman,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994509816169739,Service Quality,Service Quality (1.00); Guest Experience (1.00); Room Quality & Comfort (0.99)
eugine Septariano,2025,5,makanan di sarapan menu enak kamarnya luas dan bersih fasilitas hotel lengkap lokasi dekat ke bandara pelayanan baik mba dewi sebagai pelayan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994137287139893,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99)"
Luluk Lia,2025,5,kamar bersih dan luas saya pesan kamar tipe deluxe pokoknya nyaman banget apalagi mbak resepsionisnya baik banget terimakasih alana hotel solo,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993060827255249,Room Quality & Comfort,"Room Quality & Comfort (0.99); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
freya elleora,2025,5,pengalaman menginap yang menyenangkan selain hotel yang memadai tapi juga letak hotel yang baru strategis dekat dengan pusat kota mall bandara dan toko oleh2 jadi sehat satu alasan mengapa saya memilih hotel ini fasilitas sudah sangat lengkap semua menu enak rasanya layanan yang baik dan keramahan yang baik terima kasih kak dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993321299552917,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
dasha nataaa,2025,5,kamar bersih restoran besar dan bersih juga fasilitas hotel lengkap dan terjaga sarapan banyak pilihan dan semua lezat pelayanan cepat dan ramah kak dewi dan teman2,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992406368255615,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00)"
HANY MISRANEDI,2025,5,kamarnya luas bersih fasilitas lengkap standar bintang 4 makanannya enak dan banyak pilihannya bisa minta rasa sesuai selera untuk makanan tertentu terima kasih ka reva,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995006322860718,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.95); Room Quality & Comfort (0.92)
074 Lita Agustin 21,2025,5,makanan di restonya bervariatif dan enak lokasi strategis pelayanan baik pelayan hari ini mbak dewi sgt baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994495511054993,Service Quality,Service Quality (1.00); Food & Beverage (0.99); Staff Conduct & Hospitality (0.99)
Ahmad Fatih,2025,5,hotel yang bagus terletak di pusat kota dengan pelayanan yang ramah dan baik pihak front desk mbak adinda disarankan pesan kamar deluxe keluarga karena kami menginap bersama keluarga hotel ini anak-anak ramah juga ada kolam renang tmpt gym dan tempat bermain anak salah satu pertimbangan menginap di hotel ini dan hotel yang dikelola oleh aston adalah aturan sarapan untuk anak2 di bawah usia 12 tahun masih gratis alias gratis yang mana sudah jarang ada biasanya usia 5 tahun keatas sudah harus membayar secara keseluruhan mnrt saya resto makanan enak pelayanan bagus tempat pokoknya dianjurkan berikutnya jika ke solo saya akan menginap kembali di hotel ini,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992522597312927,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Family & Group Friendly (0.98)
Aldi,2025,5,hotel yang nyaman dengan pelayanan yang ramah masuk dengan knalpot yang tidak menyala dan suara tv yang kecil tapi tanggap untuk dibenerin gym cukup lengkap tidak sebatas yang penting ada gym tapi memang cukup untuk melatih seluruh otot makanan enak cuman catatan sarapan amerika nya mungkin ditambahin dengan kentang wedges medallion dll dan peralatan pisau juga perlu di tambahkan di situ maupun baki kue pastry ramah2 dan bikin gendut karena datang mulu nawarin makanan enak2 saat sarapan,KOMPETITOR,Bintang 4,TheAlana,positive,0.998099148273468,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
Kharisma Ela,2025,5,hotel ini sangat memuaskan lokasinya strategis dekat dengan berbagai tempat wisata dan pusat perbelanjaan kamar kamarnya kamarnya bersih nyaman dan ditata dengan baik pelayanannya ramah dan responsif dibantu dengan kak adinda sarapan paginya juga enak dengan berbagai pilihan menu yang bervariasi sangat direkomendasikan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994446635246277,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99)
Yuna Anisa,2025,5,hotelnya benar benar nyaman sih kamarnya nyaman banget lega bersih makanannya enak banget selama seminggu disini menu menu variatif banget dan tidak pernah gagal pelayanan kru hotel juga best banget terima kasih alana oleh aston dan mba ika,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995445609092712,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Staff Conduct & Hospitality (0.96)
ninin abednego,2025,5,makanan enak sarapan pagi dilayani mb dewi ramah dan menyenangkan terima kasih ya alana kamarnya juga bersih dan cukup luas,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994184970855713,Guest Experience,"Guest Experience (0.99); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
fajar wahyuningtyas,2025,5,hotelnya bagus pelayanan oke staf ramah2 resepsiisnya bisa memberikan info2 terbaik khususnya mbak yulia sukses selalu alana,KOMPETITOR,Bintang 4,TheAlana,positive,0.999267041683197,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.98); Guest Experience (0.96)
dys sania,2025,5,Happy weekend karena menginap di Alana solo karena tempatnya terjangkau kemana2 fasilitas hotelnya komplit kamar super nyaman tidak lupa brekfastnya lezat semua karyawannya baik semua dan rmah mba dewi staf resto yang sngat hati-hati,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994763731956482,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.98); Staff Conduct & Hospitality (0.98)"
Mewakili Teraniaya,2025,3,hotel yang sudah ada bintang detail sangat di butuhkan alana sudah 4 perhatikan kembali sprei dan sarung bantal berbulu gatal kusam tidak putih lagi bahan linen perlu di perhatikan atau kerjasama cuci perlu di revisi keset kamar mandi warnanya sangat tidak layak terkesan kotor mandi gel lupa di isi housekeeper paling tidak di isi 1 4 botol atau 100ml untuk 2 orang 2x mandi tisu tipis sandal kamar masuk kualitas buruk lem baru mudah copot detail7x sangat di butuhkan tarif sudah 1jtan rasa 300rb sarapan tapi kurang variasi2 sering evaluasi,KOMPETITOR,Bintang 4,TheAlana,negative,0.9982649683952332,Facilities & Amenities,"Facilities & Amenities (0.87); Cleanliness, Hygiene & Maintenance (0.68); Pricing & Value for Money (0.64)"
Anindya Verlita,2025,5,layanan nya ramah sekali saya diurus oleh resepsionis mba adinda yang ramah dan komunikatif informatif sekali sampai ketemu di musim libur berikut nya terimakasih hotel alana,KOMPETITOR,Bintang 4,TheAlana,positive,0.9986729621887207,Service Quality,Service Quality (0.98); Staff Conduct & Hospitality (0.98); Service Efficiency & Responsiveness (0.93)
Dita Andari,2025,5,Kamar 950 untuk kondisi kamarnya bagus bersih dan nyaman untuk sarapan sudah cukup enak hanya kurang variasi untuk makanannya berikutnya ke solo akan tinggal di alana lagi trima ksh alana dan mba reva atas layanan nya selama kami tinggal di sini,KOMPETITOR,Bintang 4,TheAlana,positive,0.9988377690315247,Room Quality & Comfort,"Room Quality & Comfort (0.99); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
Yuli Fitria,2025,5,pelayanan sangat baik mba cindy dan mba ririn kualitas kamar yang diberikan juga sesuai lokasi yang strategis secara keseluruhan okee banget buat lokasi menginap untuk berbagai kebutuhan dari kebutuhan pekerjaan ataupun juga hanya hanya liburan,KOMPETITOR,Bintang 4,TheAlana,positive,0.998956561088562,Room Quality & Comfort,Room Quality & Comfort (1.00); Service Quality (1.00); Staff Conduct & Hospitality (1.00)
abhi dea,2025,5,atas semua fasilitas dan kebersihan hotel terjaga sangat rekomendasi untuk menginap karna nyaman untuk istirahat sarapan lengkap lezat semua kak dewi melakukan yang hebat,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992008805274963,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Quality (0.99)"
Mahira Nurul Fathya,2025,5,Kamarnya bersih dan harum servicenya sangat baik terutama mba dewi di bagian resto aksesnya juga mudah dan dekat bandara dianjurkan untuk tinggal di sini selama perjalanan bisnis yang harus ke mobile atau pertemuan masuk hotel,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992284774780273,Service Quality,"Service Quality (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
black cycel_,2025,5,sudah berulang kali memesan tidak pernah mengecewakan kamar sudah sesuai standar dan fasilitas yang lengkap makanan sarapan enak semua layananenya memuaskan terutama mba dewi ramah sekali terimakasih banyak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991974234580994,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Room Quality & Comfort (0.99)
sri jie,2025,5,enak semua makanannya joss pokiknya restoran bersih dan luas mba dewi pelayan sudah baik pelayanan yang diberikan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990528225898743,Service Quality,"Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99)"
Ade Dodo,2025,5,untuk pelayanannya sangat baik inisiatif membantu saya mengambil madu karena di tampilan kosong tidak antri soalnya petugas cekatan membersihkannya cepat mba dewi juga ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990634322166443,Service Quality,Service Quality (1.00); Guest Experience (1.00); Service Efficiency & Responsiveness (1.00)
anggraini oktorina,2025,5,hotel luas bersih kamar bersih wangi seprei handuk keset sarapan tempat luas makanan enak variasi banyak ada mie ayam bubur ayam omelette sereal pastry salad dll,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993411898612976,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.96)"
Rachel Septiani,2025,5,kalau bisa kasi bintang 10 akan saya kasih soal pemasarannya bu grace cepat respon sangat koordinatif dan semua di penuhi dengan baik saya mengadakan acara seminar disini mulai dari perjamuan nya pak anang sampai manajernya pak andri sangat sangat membantu ruangan dan kamarnya bersih wangi dingin mantap,KOMPETITOR,Bintang 4,TheAlana,positive,0.9988769888877869,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Service Quality (0.99); Staff Conduct & Hospitality (0.97)
Rita Ragilia Rasyid,2026,5,bervariasi sarapan dan rasanya pun enak kamar luas dan bersih ruang pertemuan jg oke,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993059635162354,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Room Quality & Comfort (0.98)"
Elva Adrianraja,2025,1,Pelayanan buruk bangt kita cek ini di malam hari masak mau gabungin waktu buruk 1 jam sampai telepon 5 kali nol bngt pelayanan nya dan saat pagi minta tas cuci sampai telepon 7 kali lita tunggu sampai 1 jam jika emang g ada tas cuci bisa konfirmasi padahal kita butuh dan terjadi gini dua kali padahal alu pikir sekarang sudah berubah tapi ternyata tetap buruk pelayanan,KOMPETITOR,Bintang 4,TheAlana,negative,0.9993759989738464,Service Quality,Service Quality (0.93); Check in/out Experience (0.91); Guest Experience (0.89)
Ganang Susanto,2025,4,Kamar bagus luas cuma untuk sarapan dan makan malam nya belum pantas menjadi bintang 4,KOMPETITOR,Bintang 4,TheAlana,negative,0.9449188709259033,Facilities & Amenities,Facilities & Amenities (0.97); Food & Beverage (0.94); Guest Experience (0.78)
dhana prayoga,2025,5,Staffnya luar biasa jujur ipad tertinggal di meja resto waktu sarapan sampai magrib pun tidak tersentuh tetap dimeja yang sama,KOMPETITOR,Bintang 4,TheAlana,positive,0.9182875156402588,Service Quality,Service Quality (0.96); Staff Conduct & Hospitality (0.87); Service Efficiency & Responsiveness (0.84)
Sabrina 123,2025,5,sudah sering nginap dan tidak pernah kecewa pelayanan salalu kualitas kamar dan fasilitas nya memuaskan makanan sarapan enak semua lokasi strategis pelayanan kak dewi baik sekali,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993510842323303,Service Quality,Service Quality (1.00); Room Quality & Comfort (1.00); Facilities & Amenities (1.00)
najla alaydrus,2025,5,Restonya luas makanan enak memuaskan banyak pilihan dilayani dengan kak ika pelayananya ramah baik kamarnya luas fasilitas lengkap mulai dadi kolam sampai kidsclup,KOMPETITOR,Bintang 4,TheAlana,positive,0.999582827091217,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
rizka aulia,2025,5,makanannya enak sekali pelayanannya r amah dibantu oleh staf yang rendah hati ibu annisa tempatnya nyaman dingin dan luas,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994010925292969,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.97)
