No,User Name,Review Count,Review Time,Rating,Review Text,Cleaned_Readable,Cleaned_NLP
11.0,Emanuella Widianto,6,2025-12-25,5,"Hotelnya bersih, lokasinya sangat strategis dekat malioboro dan tugu jogja, pelayanannya bagus, ramah, menu breakfastnya bervariasi, dan enak, tersedia juga ice cream favoritnya anak2 kami. Sangat direkomendasikan. Terima kasih keramahannya Mbak Rani and team.","Hotelnya bersih, lokasinya sangat strategis dekat malioboro dan tugu jogja, pelayanannya bagus, ramah, menu breakfastnya bervariasi, dan enak, tersedia juga ice cream favoritnya anak2 kami. Sangat direkomendasikan. Terima kasih keramahannya mbak rani and team.",hotelnya bersih lokasinya sangat strategis dekat malioboro dan tugu jogja pelayanannya bagus ramah menu breakfastnya bervariasi dan enak tersedia juga ice cream favoritnya anak kami sangat direkomendasikan terima kasih keramahannya mbak rani and team
12.0,Rossy Hening Pratiwi,12,2026-01-03,5,Pelayanan oke semua resto okee bangett kamar sesuai dengan ekspetasi kamar aman semua free snack juga makasi team especially mb april next akan kesjni lagi ya,Pelayanan oke semua resto okee bangett kamar sesuai dengan ekspetasi kamar aman semua free snack juga makasi team especially mb april next akan kesjni lagi ya,pelayanan oke semua resto okee bangett kamar sesuai dengan ekspetasi kamar aman semua free snack juga makasi team especially mb april next akan kesjni lagi ya
13.0,Nugroho Tri Wibowo,32,2026-01-01,5,"Hotel bagus tengah kota, sayangnya apes pas kemarin nginap semalam disana. Dapat kru hotel yg kurang kerjasama, gak punya empati antar kru. Dapat kamar yg kuncinya macet ga bisa dibuka, nungguin hampir sejam di depan kamar pas teknisinya perbaikan. Cm ya ttp saya kasih bintang 5 biar ada perbaikan di sisi manajemen dan teknisnya.","Hotel bagus tengah kota, sayangnya apes pas kemarin nginap semalam disana. Dapat kru hotel yg kurang kerjasama, gak punya empati antar kru. Dapat kamar yg kuncinya macet ga bisa dibuka, nungguin hampir sejam di depan kamar pas teknisinya perbaikan. Cm ya ttp saya kasih bintang 5 biar ada perbaikan di sisi manajemen dan teknisnya.",hotel bagus tengah kota sayangnya apes pas kemarin nginap semalam disana dapat kru hotel yg kurang kerjasama gak punya empati antar kru dapat kamar yg kuncinya macet ga bisa dibuka nungguin hampir sejam di depan kamar pas teknisinya perbaikan cm ya ttp saya kasih bintang biar ada perbaikan di sisi manajemen dan teknisnya
14.0,Nadilla Tasya Natasa,5,2025-12-25,5,"kamarnya bagus, lumayan luas, layanannya bagus dan worth it utk harga segitu, sm ditawarin minuman baru jg sm kaka lely dan chelsy, pelayanan ramah dan baagus","Kamarnya bagus, lumayan luas, layanannya bagus dan worth it utk harga segitu, sm ditawarin minuman baru jg sm kaka lely dan chelsy, pelayanan ramah dan baagus",kamarnya bagus lumayan luas layanannya bagus dan worth it utk harga segitu sm ditawarin minuman baru jg sm kaka lely dan chelsy pelayanan ramah dan baagus
15.0,Indriani Rusydi,1,2026-01-01,5,"Dekat dgn Tugu, tp blm rame spt di Malioboro. Kamar luas yg kami pesan cukup, handuk ada bbrp jenis. Breakfast, makanannya variatif, staf nasi goreng station melihat saya menawarkan nasi gorengnya, saya menolak tp msh bingung, mba nya menawarkan mungkin mau coba sedikit Bu? (Seneng dgn perhatiannya). Stafnya semua sigap.","Dekat dgn tugu, tp blm rame spt di malioboro. Kamar luas yg kami pesan cukup, handuk ada bbrp jenis. Breakfast, makanannya variatif, staf nasi goreng station melihat saya menawarkan nasi gorengnya, saya menolak tp msh bingung, mba nya menawarkan mungkin mau coba sedikit bu? (seneng dgn perhatiannya). Stafnya semua sigap.",dekat dgn tugu tp blm rame spt di malioboro kamar luas yg kami pesan cukup handuk ada bbrp jenis breakfast makanannya variatif staf nasi goreng station melihat saya menawarkan nasi gorengnya saya menolak tp msh bingung mba nya menawarkan mungkin mau coba sedikit bu seneng dgn perhatiannya stafnya semua sigap
16.0,Tasya,11,2025-12-25,5,"Paket half day di Harper dapat coffeebreak dan lunch yang enakk. Menu lunch favorit daging empal, tapi cepat habis, sepertinya memang favorit semua orang, enak! Ballroomnya besar dan nyaman. Pelayanannya sangat memuaskan, ramah, dan gercep. Ketika lunch diampiri oleh Chef Vieri dan Chef Ilda, sangat ramah dan menerima masukan. Terima kasih!","Paket half day di harper dapat coffeebreak dan lunch yang enakk. Menu lunch favorit daging empal, tapi cepat habis, sepertinya memang favorit semua orang, enak! Ballroomnya besar dan nyaman. Pelayanannya sangat memuaskan, ramah, dan gercep. Ketika lunch diampiri oleh chef vieri dan chef ilda, sangat ramah dan menerima masukan. Terima kasih!",paket half day di harper dapat coffeebreak dan lunch yang enakk menu lunch favorit daging empal tapi cepat habis sepertinya memang favorit semua orang enak ballroomnya besar dan nyaman pelayanannya sangat memuaskan ramah dan gercep ketika lunch diampiri oleh chef vieri dan chef ilda sangat ramah dan menerima masukan terima kasih
17.0,adinda maya,18,2025-12-08,5,"We booked from 1 till 5 December 2025, and the hospitality is AWESOME. All the staff here is very supportive and helpful. The restaurant team, Chef Anas-Mas Fendy-Rafi-and all the waiterss team’s service is very excellence. They were genuinely served and cooked the best meals ever! The front office desk also informative and so kind. Especially Mba Amelia, and Mba Rare who really sweet and helpful. All the services was excellence, I ain’t lie. Even the Security and Bell Boy, was very rigid to help us with the luggage. Great job Harper Maliboro by Aston! Keep it up Team!","We booked from 1 till 5 december 2025, and the hospitality is awesome. All the staff here is very supportive and helpful. The restaurant team, chef anas-mas fendy-rafi-and all the waiterss teams service is very excellence. They were genuinely served and cooked the best meals ever! The front office desk also informative and so kind. Especially mba amelia, and mba rare who really sweet and helpful. All the services was excellence, i aint lie. Even the security and bell boy, was very rigid to help us with the luggage. Great job harper maliboro by aston! Keep it up team!",we booked from till december and the hospitality is awesome all the staff here is very supportive and helpful the restaurant team chef anasmas fendyrafiand all the waiterss teams service is very excellence they were genuinely served and cooked the best meals ever the front office desk also informative and so kind especially mba amelia and mba rare who really sweet and helpful all the services was excellence i aint lie even the security and bell boy was very rigid to help us with the luggage great job harper maliboro by aston keep it up team
18.0,Fauzan Iyas,5,2025-12-08,5,"I had an excellent stay at Harper Malioboro. The room was modern, spotless, and pleasantly fragrant, creating a very comfortable atmosphere. One of the highlights was the Google Nest feature—having advanced voice-command controls made everything incredibly convenient, and I barely had to get up for anything. The complimentary minibar snacks were also a wonderful touch and were replenished daily, which is something you rarely find in most hotels today. Overall, Harper Malioboro exceeded my expectations in both comfort and service. Highly recommended for anyone looking to stay in Yogyakarta!","I had an excellent stay at harper malioboro. The room was modern, spotless, and pleasantly fragrant, creating a very comfortable atmosphere. One of the highlights was the google nest featurehaving advanced voice-command controls made everything incredibly convenient, and i barely had to get up for anything. The complimentary minibar snacks were also a wonderful touch and were replenished daily, which is something you rarely find in most hotels today. Overall, harper malioboro exceeded my expectations in both comfort and service. Highly recommended for anyone looking to stay in yogyakarta!",i had an excellent stay at harper malioboro the room was modern spotless and pleasantly fragrant creating a very comfortable atmosphere one of the highlights was the google nest featurehaving advanced voicecommand controls made everything incredibly convenient and i barely had to get up for anything the complimentary minibar snacks were also a wonderful touch and were replenished daily which is something you rarely find in most hotels today overall harper malioboro exceeded my expectations in both comfort and service highly recommended for anyone looking to stay in yogyakarta
19.0,Auxillio Andy Kwee,42,2026-01-01,5,"Hotel yg oke banget: bersih, aman, n great value. Terletak tdk terlalu jauh dengan Malioboro, bisa dicapai dengan jalan kaki skalian olahraga. Service n hospitality top notch. Kamar tidur excellent, kmr mandi jg 👍. Breakfastnya amazing dari variety, quality n quantity. We truly enjoyed our staying.","Hotel yg oke banget: bersih, aman, n great value. Terletak tdk terlalu jauh dengan malioboro, bisa dicapai dengan jalan kaki skalian olahraga. Service n hospitality top notch. Kamar tidur excellent, kmr mandi jg. Breakfastnya amazing dari variety, quality n quantity. We truly enjoyed our staying.",hotel yg oke banget bersih aman n great value terletak tdk terlalu jauh dengan malioboro bisa dicapai dengan jalan kaki skalian olahraga service n hospitality top notch kamar tidur excellent kmr mandi jg breakfastnya amazing dari variety quality n quantity we truly enjoyed our staying
20.0,Vidya R,3,2026-01-01,5,"Pelayanan di Hotel Haper sangat mantap mulai dari kamar, parkir, dan sarapannya. Staf nya sangat ramah dan helpful sekali terutama Mba Arvel. Plus dapet free upgrade kamar pula. Very recomended 👍🏻👍🏻","Pelayanan di hotel haper sangat mantap mulai dari kamar, parkir, dan sarapannya. Staf nya sangat ramah dan helpful sekali terutama mba arvel. Plus dapet free upgrade kamar pula. Very recomended",pelayanan di hotel haper sangat mantap mulai dari kamar parkir dan sarapannya staf nya sangat ramah dan helpful sekali terutama mba arvel plus dapet free upgrade kamar pula very recomended
21.0,anak sholeh,1,2026-01-01,5,"Pelayanannya ramah, kamarnya sangat wangi, bersih dan nyaman. Saya di bantu oleh mbak april yang sangat humble dan baik. Ini salah satu hotel yang bakal saya kunjungin lagi","Pelayanannya ramah, kamarnya sangat wangi, bersih dan nyaman. Saya di bantu oleh mbak april yang sangat humble dan baik. Ini salah satu hotel yang bakal saya kunjungin lagi",pelayanannya ramah kamarnya sangat wangi bersih dan nyaman saya di bantu oleh mbak april yang sangat humble dan baik ini salah satu hotel yang bakal saya kunjungin lagi
22.0,chobin martanto,2,2026-01-03,5,"Semuanya sangat memuaskan, pelayanan dan kualitas kamarnya oke bgt, sedikit minusnya adalah krn saya dpt lantai 3 yg gak dpt view keluar yg bgs, tp overall memuaskan dan saya pasti akan memilih harper malioboro lagi kalau liburan di Jogja","Semuanya sangat memuaskan, pelayanan dan kualitas kamarnya oke bgt, sedikit minusnya adalah krn saya dpt lantai 3 yg gak dpt view keluar yg bgs, tp overall memuaskan dan saya pasti akan memilih harper malioboro lagi kalau liburan di jogja",semuanya sangat memuaskan pelayanan dan kualitas kamarnya oke bgt sedikit minusnya adalah krn saya dpt lantai yg gak dpt view keluar yg bgs tp overall memuaskan dan saya pasti akan memilih harper malioboro lagi kalau liburan di jogja
23.0,stephanus cahyo adiraja,7,2026-01-01,5,"Awalnya sempet terjadi miskom dgn tim reservasi tapi bisa solved dgn baik. Utk pelayanan mnrtku juara sih, semua stafnya ramah2 & helpful. Utk mbak Anin yg tadi bertugas di egg station, semangat ya mbak, mbak Anin gak salah kok, cust-nya aja yg rada error & gak sabaran. Udh tak sampein jg ke mas Fendy & chefnya dari pov sy yg td ada disana. Semangat tim Harper Jokja yg sdh melayani dgn sepenuh hati di saat peak season spt skg ini 👍👍👍","Awalnya sempet terjadi miskom dgn tim reservasi tapi bisa solved dgn baik. Utk pelayanan mnrtku juara sih, semua stafnya ramah2 & helpful. Utk mbak anin yg tadi bertugas di egg station, semangat ya mbak, mbak anin gak salah kok, cust-nya aja yg rada error & gak sabaran. Udh tak sampein jg ke mas fendy & chefnya dari pov sy yg td ada disana. Semangat tim harper jokja yg sdh melayani dgn sepenuh hati di saat peak season spt skg ini",awalnya sempet terjadi miskom dgn tim reservasi tapi bisa solved dgn baik utk pelayanan mnrtku juara sih semua stafnya ramah helpful utk mbak anin yg tadi bertugas di egg station semangat ya mbak mbak anin gak salah kok custnya aja yg rada error gak sabaran udh tak sampein jg ke mas fendy chefnya dari pov sy yg td ada disana semangat tim harper jokja yg sdh melayani dgn sepenuh hati di saat peak season spt skg ini
24.0,Amalia Astri,2,2025-11-08,5,"Hotel Harper Malioboro Yogyakarta adalah hotel yang paling strategis di pusat kota Jogja, butuh beberapa menit jalan kaki untuk sampai ke Malioboro, tempat yang terkenal dengan suasana malam yang ramai, kuliner khas. Lokasinya juga dekat dengan Stasiun Tugu, jadi gampang banget dijangkau buat mahasiswa atau wisatawan yang datang naik kereta. Hotel ini modern tapi tetap hangat dan nyaman. Saat masuk ke lobi, kita melihat desain interior yang elegan dan tentunya pelayanan staf yang ramah. Kamarnya bersih, dilengkapi berbagai fasilitas. Jadi, meskipun konsepnya modern, tetap terasa homey dan cocok buat mahasiswa yang ingin istirahat setelah seharian jalan-jalan atau ikut kegiatan di kota Jogja. Fasilitas di hotel ini juga cukup lengkap. Ada kolam renang outdoor, tempat fitness untuk yang mau relaksasi. Restorannya, Rustik Bistro & Bar, menyajikan makanan dengan cita rasa lokal dan internasional, jadi ngga perlu repot cari makan keluar kalau lagi mager. Sarapan di hotel ini juga terkenal enak dan banyak macamnya. Harganya memang nggak sehemat hotel budget, tapi kualitasnya sebanding dengan fasilitas dan lokasi yang ditawarkan. Apalagi kalau kamu ingin pengalaman menginap yang nyaman, dekat Malioboro, dan mudah kemana-mana — hotel ini bisa jadi pilihan yang pas.","Hotel harper malioboro yogyakarta adalah hotel yang paling strategis di pusat kota jogja, butuh beberapa menit jalan kaki untuk sampai ke malioboro, tempat yang terkenal dengan suasana malam yang ramai, kuliner khas. Lokasinya juga dekat dengan stasiun tugu, jadi gampang banget dijangkau buat mahasiswa atau wisatawan yang datang naik kereta. Hotel ini modern tapi tetap hangat dan nyaman. Saat masuk ke lobi, kita melihat desain interior yang elegan dan tentunya pelayanan staf yang ramah. Kamarnya bersih, dilengkapi berbagai fasilitas. Jadi, meskipun konsepnya modern, tetap terasa homey dan cocok buat mahasiswa yang ingin istirahat setelah seharian jalan-jalan atau ikut kegiatan di kota jogja. Fasilitas di hotel ini juga cukup lengkap. Ada kolam renang outdoor, tempat fitness untuk yang mau relaksasi. Restorannya, rustik bistro & bar, menyajikan makanan dengan cita rasa lokal dan internasional, jadi ngga perlu repot cari makan keluar kalau lagi mager. Sarapan di hotel ini juga terkenal enak dan banyak macamnya. Harganya memang nggak sehemat hotel budget, tapi kualitasnya sebanding dengan fasilitas dan lokasi yang ditawarkan. Apalagi kalau kamu ingin pengalaman menginap yang nyaman, dekat malioboro, dan mudah kemana-mana hotel ini bisa jadi pilihan yang pas.",hotel harper malioboro yogyakarta adalah hotel yang paling strategis di pusat kota jogja butuh beberapa menit jalan kaki untuk sampai ke malioboro tempat yang terkenal dengan suasana malam yang ramai kuliner khas lokasinya juga dekat dengan stasiun tugu jadi gampang banget dijangkau buat mahasiswa atau wisatawan yang datang naik kereta hotel ini modern tapi tetap hangat dan nyaman saat masuk ke lobi kita melihat desain interior yang elegan dan tentunya pelayanan staf yang ramah kamarnya bersih dilengkapi berbagai fasilitas jadi meskipun konsepnya modern tetap terasa homey dan cocok buat mahasiswa yang ingin istirahat setelah seharian jalanjalan atau ikut kegiatan di kota jogja fasilitas di hotel ini juga cukup lengkap ada kolam renang outdoor tempat fitness untuk yang mau relaksasi restorannya rustik bistro bar menyajikan makanan dengan cita rasa lokal dan internasional jadi ngga perlu repot cari makan keluar kalau lagi mager sarapan di hotel ini juga terkenal enak dan banyak macamnya harganya memang nggak sehemat hotel budget tapi kualitasnya sebanding dengan fasilitas dan lokasi yang ditawarkan apalagi kalau kamu ingin pengalaman menginap yang nyaman dekat malioboro dan mudah kemanamana hotel ini bisa jadi pilihan yang pas
